id,rank,  workers  ,company,state,city,  growth_in_%  ,  revenue  ,industry,yrs_on_list
19843,4587,65,My Computer Works,AZ,Scottsdale,55,"$3,837,710.00 ",IT Services,4
24578,4588,170,Fox World Travel,WI,Oshkosh,55,"$17,941,146.00 ",Travel & Hospitality,2
9804,4589,66,Summit Drilling Co.,NJ,Bridgewater,55,"$11,694,803.00 ",Environmental Services,2
22164,4590,22,Comfort Supply (Pittsburgh PA),PA,Pittsburgh,55,"$11,562,000.00 ",Construction,3
17565,4591,249,All Web Leads,TX,Austin,55,"$87,860,849.00 ",Insurance,5
18513,4592,65,Bogota Latin Bistro,NY,Brooklyn,55,"$4,507,573.00 ",Food & Beverage,5
1345,4593,75,ISite Design,OR,Portland,55,"$10,791,077.00 ",Advertising & Marketing,7
2550,4594,26,Questline,OH,Columbus,55,"$4,756,149.00 ",Energy,7
17586,4595,73,BidSync,UT,American Fork,55,"$9,418,376.00 ",Government Services,5
25530,4596,20,Business Communications Solutions,CA,Irvine,55,"$4,905,676.00 ",IT Services,1
24444,4597,50,Protonex Technology,MA,Southborough,55,"$12,653,385.00 ",Engineering,2
22435,4598,220,Idera,TX,Houston,55,"$43,545,372.00 ",Software,3
19177,4599,661,Fidelitone Logistics,IL,Wauconda,55,"$480,758,935.00 ",Logistics & Transportation,2
26538,4600,17,Becker Logistics,IL,Carol Stream,55,"$7,233,651.00 ",Logistics & Transportation,1
228,4601,145,Strategic Systems,OH,Dublin,55,"$16,528,539.00 ",IT Services,6
26118,4602,30,Total Security Solutions,MI,Fowlerville,55,"$12,534,071.00 ",Security,1
18241,4603,185,XpertTech,MA,Woburn,55,"$9,310,687.00 ",IT Services,5
21872,4604,34,Coton Colors,FL,Tallahassee,55,"$7,759,823.00 ",Consumer Products & Services,3
4306,4605,15,Architec Housewares,FL,Delray Beach,55,"$9,296,949.00 ",Consumer Products & Services,3
22373,4606,70,Execupay,TX,San Antonio,55,"$8,416,840.00 ",Financial Services,3
25500,4607,400,CAMS,TX,Houston,55,"$57,139,143.00 ",Energy,1
24211,4608,35,Orbit Media Studios,IL,Chicago,55,"$3,772,000.00 ",Business Products & Services,2
20484,4609,850,BOS Staffing,GA,Athens,55,"$3,694,290.00 ",Human Resources,4
23696,4610,13,SocialRadius,NV,Las Vegas,55,"$2,089,000.00 ",Advertising & Marketing,2
3303,4611,56,Golfballs.com,LA,Lafayette,55,"$17,718,000.00 ",Retail,8
22441,4612,266,Valin,CA,San Jose,54,"$180,129,000.00 ",Business Products & Services,3
24107,4613,86,CIK Power Distributors,CA,Orange,54,"$17,901,870.00 ",Telecommunications,2
841,4614,48,Dynamic Systems,CA,El Segundo,54,"$81,131,000.00 ",IT Services,5
24362,4615,35,Foodmix Marketing Communications,IL,Elmhurst,54,"$9,309,462.00 ",Advertising & Marketing,2
23842,4616,20,Floors To Your Home,IN,Indianapolis,54,"$8,841,481.00 ",Consumer Products & Services,2
22666,4617,567,PlattForm,KS,Lenexa,54,"$167,742,713.00 ",Education,3
20669,4618,85,Field Fastener,IL,Machesney Park,54,"$38,342,000.00 ",Manufacturing,4
22394,4619,"3,267",Prime Therapeutics,MN,Eagan,54,"$2,511,716,640.00 ",Health,3
20081,4620,72,SKLZ,CA,Carlsbad,54,"$70,936,000.00 ",Consumer Products & Services,4
1986,4621,20,MDS Medical,AZ,Scottsdale,54,"$3,439,009.00 ",Health,4
22363,4622,324,Brandt Consolidated,IL,Springfield,54,"$352,193,539.00 ",Manufacturing,6
2181,4623,"1,064",Carousel Industries,RI,Exeter,54,"$350,051,061.00 ",Telecommunications,9
3885,4624,143,SofterWare,PA,Horsham,54,"$33,215,000.00 ",Software,6
22185,4625,30,TicketPrinting.com & Ticket River,MT,Bozeman,54,"$7,932,066.00 ",Consumer Products & Services,3
24332,4626,454,Vubiquity,VA,Reston,54,"$296,848,000.00 ",Media,2
1821,4627,51,LetterLogic,TN,Nashville,54,"$27,932,820.00 ",Business Products & Services,8
22384,4628,80,precision metal industries,FL,Pompano Beach,54,"$14,280,497.00 ",Manufacturing,3
25007,4629,11,Palladium Consulting,TX,Houston,54,"$2,021,366.00 ",Software,1
6412,4630,18,Blinc,FL,Boca Raton,54,"$6,363,107.00 ",Consumer Products & Services,7
25624,4631,80,Transbeam,NY,New York,54,"$18,695,000.00 ",Telecommunications,1
4071,4632,115,Tiger Correctional Services,AR,Jonesboro,54,"$12,914,767.00 ",Government Services,8
22086,4633,415,Little Sprouts,MA,Lawrence,54,"$21,928,058.00 ",Education,3
20808,4634,285,QPS Employment Group,WI,Brookfield,54,"$156,218,779.00 ",Human Resources,6
6247,4635,112,Enlightened,DC,Washington,54,"$16,297,734.00 ",IT Services,3
26271,4636,23,TrippNT,MO,Kansas City,54,"$2,175,668.00 ",Manufacturing,1
20674,4637,15,Southridge Technology Grp,CT,Brookfield,54,"$2,912,590.00 ",Business Products & Services,4
20662,4638,31,Mutual Shareholder Services,OH,Broadview Heights,54,"$3,137,990.00 ",Financial Services,4
22436,4639,82,Commuter Air Technology,OK,Oklahoma City,54,"$26,908,424.00 ",Business Products & Services,3
18712,4640,40,Versacom,TX,Dallas,54,"$10,514,511.00 ",Telecommunications,3
4789,4641,"1,168",American Specialty Health,CA,San Diego,54,"$239,180,984.00 ",Health,6
18948,4642,11,SoundSense,NY,East Hampton,54,"$3,496,958.00 ",Engineering,2
26491,4643,"2,600",Genesys,CA,Daly City,54,"$740,236,000.00 ",Software,1
22421,4644,60,ITN International,MD,Bethesda,54,"$9,220,708.00 ",Advertising & Marketing,3
1940,4645,27,Daymark Solutions,MA,Lexington,53,"$38,133,000.00 ",IT Services,7
1266,4646,32,Greentarget Global Group,IL,Chicago,53,"$5,690,265.00 ",Advertising & Marketing,4
22484,4647,9,Buchroeder's Fine Jewelers,MO,Columbia,53,"$4,920,513.00 ",Retail,3
4295,4648,67,Vigon International,PA,East Stroudsburg,53,"$85,358,525.00 ",Manufacturing,7
3072,4649,"1,080",Mazzone Management Group,NY,Scotia,53,"$37,334,900.00 ",Food & Beverage,4
18479,4650,125,NeoSystems,VA,Tysons Corner,53,"$24,250,635.00 ",Financial Services,5
22610,4651,576,Dickinson Wright,MI,Detroit,53,"$159,500,000.00 ",Business Products & Services,2
22372,4652,232,Polaris Laboratories,IN,Indianapolis,53,"$21,420,302.00 ",Energy,6
859,4653,32,ACFN Franchised,CA,San Jose,53,"$14,286,525.00 ",Financial Services,7
22477,4654,67,Advanced BioEnergy,MN,Bloomington,53,"$241,987,000.00 ",Energy,3
3004,4655,82,Alpha Imaging,OH,Willoughby,53,"$62,659,819.00 ",Health,7
26340,4656,26,Tusk Enterprises,TX,Arlington,53,"$16,555,165.00 ",Health,1
25081,4657,14,Creative Consultants Group,SC,Conway,53,"$2,065,959.00 ",IT Services,1
24287,4658,297,Evans Enterprises,OK,Oklahoma City,53,"$68,576,945.00 ",Manufacturing,2
3541,4659,52,IT Solutions Consulting,PA,Fort Washington,53,"$10,467,968.00 ",IT Services,7
25710,4660,4,Beyond Gaming of Michigan,MI,Birmingham,53,"$4,889,000.00 ",Consumer Products & Services,1
1445,4661,102,Droisys,CA,Santa Clara,53,"$11,011,506.00 ",IT Services,7
6317,4662,28,Cahaba Media Group,AL,Birmingham,53,"$5,144,948.00 ",Media,4
6819,4663,11,Schroeder Design/Build,VA,Fairfax,53,"$2,439,742.00 ",Construction,2
26231,4664,39,Trustpoint Insurance,VA,Bristol,53,"$4,388,075.00 ",Insurance,1
23812,4665,33,ProSol Associates,VA,Alexandria,53,"$6,874,716.00 ",Government Services,2
2746,4666,730,Paycor,OH,Cincinnati,53,"$103,177,354.00 ",Human Resources,6
25255,4667,10,MCG Logistics,CA,Mission Viejo,53,"$3,275,951.00 ",Logistics & Transportation,1
19841,4668,42,OSM Worldwide,IL,Bensenville,53,"$41,818,175.00 ",Logistics & Transportation,4
3485,4669,83,The Benecon Group,PA,Lititz,53,"$26,744,447.00 ",Insurance,10
26038,4670,120,Xtivia,CO,Colorado Springs,53,"$23,015,000.00 ",Business Products & Services,1
24305,4671,15,SIG,FL,Jacksonville,53,"$3,209,025.00 ",Business Products & Services,2
24925,4672,20,HealthMark Group,TX,Dallas,53,"$2,256,395.00 ",Health,1
8906,4673,137,Atrium Staffing,NY,New York,53,"$138,430,000.00 ",Human Resources,5
851,4674,24,Novel Geo-Environmental,PA,Moon Township,53,"$4,683,249.00 ",Environmental Services,2
3727,4675,87,International Sourcing Company,TN,Memphis,53,"$71,340,780.00 ",Business Products & Services,7
1233,4676,"4,440",GoDaddy.com,AZ,Scottsdale,53,"$1,130,845,000.00 ",IT Services,11
26495,4677,"13,100",United Service Companies,IL,Chicago,52,"$135,493,184.00 ",Business Products & Services,1
24349,4678,22,Monk Development,CA,San Diego,52,"$2,334,849.00 ",Software,2
21673,4679,23,Worthington Jewelers,OH,Worthington,52,"$2,910,905.00 ",Retail,3
25145,4680,55,ProMedical,MA,Lexington,52,"$3,036,671.00 ",Financial Services,1
19596,4681,20,EdgeCore,IA,Cedar Falls,52,"$8,347,606.00 ",Advertising & Marketing,3
21088,4682,35,Drivers History,NJ,Cherry Hill,52,"$7,752,461.00 ",Insurance,3
19004,4683,44,PSP & Digital,GA,Decatur,52,"$10,483,020.00 ",Business Products & Services,2
4351,4684,844,Urban Science,MI,Detroit,52,"$161,165,771.00 ",Software,6
11725,4685,63,Intellinet,GA,Atlanta,52,"$12,117,050.00 ",IT Services,3
20485,4686,25,Secure Designs,NC,Greensboro,52,"$3,377,576.00 ",IT Services,4
25919,4687,21,NetSearch Direct,VA,Richmond,52,"$2,117,400.00 ",Advertising & Marketing,1
25840,4688,180,HY Connect,IL,Chicago,52,"$20,824,161.00 ",Advertising & Marketing,1
25878,4689,631,Weigel Stores,TN,Powell,52,"$465,510,285.00 ",Consumer Products & Services,1
